"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Ärzte","Ärztedichte","alle Ärzte (ohne Therapeuten)","438,6","35966","82","","","","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne Therapeuten/innen)","","","","2005","Stadtbezirk","6","06 Sendling"
"Ärzte","Ärztedichte","alle Ärzte (ohne Therapeuten)","318,4","82156","258","","","","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne Therapeuten/innen)","","","","2005","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Ärzte","Ärztedichte","alle Ärzte (ohne Therapeuten)","212,1","42201","199","","","","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne Therapeuten/innen)","","","","2005","Stadtbezirk","3","03 Maxvorstadt"
"Ärzte","Ärztedichte","alle Ärzte (ohne Therapeuten)","822,8","25507","31","","","","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne Therapeuten/innen)","","","","2005","Stadtbezirk","8","08 Schwanthalerhöhe"
"Ärzte","Ärztedichte","alle Ärzte (ohne Therapeuten)","266,8","59767","224","","","","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne Therapeuten/innen)","","","","2005","Stadtbezirk","12","12 Schwabing -  Freimann"
"Ärzte","Ärztedichte","alle Ärzte (ohne Therapeuten)","360,5","62724","174","","","","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne Therapeuten/innen)","","","","2005","Stadtbezirk","21","21 Pasing - Obermenzing"
"Ärzte","Ärztedichte","alle Ärzte (ohne Therapeuten)","0,7","16","24","","","","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne Therapeuten/innen)","","","","2005","Stadtbezirk","99","99 nicht zuzuordnen"
"Ärzte","Ärztedichte","alle Ärzte (ohne Therapeuten)","936,6","53389","57","","","","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne Therapeuten/innen)","","","","2005","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Ärzte","Ärztedichte","Innere Medizin","1402,2","43469","31","","","","Hauptwohnsitzbevölkerung","Ärztinnen und Ärzte für Innere Medizin","","","","2004","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Ärzte","Ärztedichte","Innere Medizin","4685,6","46856","10","","","","Hauptwohnsitzbevölkerung","Ärztinnen und Ärzte für Innere Medizin","","","","2004","Stadtbezirk","10","10 Moosach"
