"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","26,9","36","134","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Mütter über 35 Jahre","gesamt","16,4","104","636","","","","Anzahl der Mütter (35 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","21,8","62","284","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Mütter über 35 Jahre","Ausländerinnen","11,5","21","183","","","","Anzahl der Mütter (35 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Mütter über 35 Jahre","Ausländerinnen","14,3","22","154","","","","Anzahl der Mütter (35 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","40","181","453","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2006","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","32,1","87","271","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2006","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","50,8","60","118","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2006","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","43,2","183","424","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2006","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Mütter über 35 Jahre","Ausländerinnen","19,9","37","186","","","","Anzahl der Mütter (35 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Mütter über 35 Jahre","Ausländerinnen","10,3","10","97","","","","Anzahl der Mütter (35 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Mütter über 35 Jahre","gesamt","21,8","56","257","","","","Anzahl der Mütter (35 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Mütter über 35 Jahre","gesamt","22,8","86","377","","","","Anzahl der Mütter (35 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Mütter über 35 Jahre","gesamt","22,1","189","855","","","","Anzahl der Mütter (35 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Mütter über 35 Jahre","gesamt","21,8","102","468","","","","Anzahl der Mütter (35 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","26,6","2088","7855","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","30,3","83","274","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Mütter über 35 Jahre","gesamt","19,8","97","490","","","","Anzahl der Mütter (35 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2006","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Mütter über 35 Jahre","Ausländerinnen","11,9","21","177","","","","Anzahl der Mütter (35 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","-88888888","0","0","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2006","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Mütter über 35 Jahre","Ausländerinnen","18","834","4631","","","","Anzahl der Mütter (35 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2006","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Mütter über 35 Jahre","Ausländerinnen","14,9","17","114","","","","Anzahl der Mütter (35 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2006","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Mütter über 35 Jahre","gesamt","32,7","210","642","","","","Anzahl der Mütter (35 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2006","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","40,3","177","439","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2006","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","29,3","75","256","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2006","Stadtbezirk","25","25 Laim"
"Bevölkerung","Mütter über 35 Jahre","Ausländerinnen","15,3","32","209","","","","Anzahl der Mütter (35 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Mütter über 35 Jahre","Ausländerinnen","6,9","14","202","","","","Anzahl der Mütter (35 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Mütter über 35 Jahre","gesamt","19,8","51","257","","","","Anzahl der Mütter (35 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Mütter über 35 Jahre","gesamt","23,1","103","445","","","","Anzahl der Mütter (35 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","24,9","76","305","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Mütter über 35 Jahre","gesamt","23,6","103","437","","","","Anzahl der Mütter (35 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","25,6","65","254","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","27,2","127","467","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Mütter über 35 Jahre","Deutsche","25,1","44","175","","","","Anzahl der Mütter (35 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","23","23 Allach - Untermenzing"
